,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
8422,31,admin.,single,secondary,no,554,yes,no,cellular,5,feb,94,1,-1,0,unknown,no
9226,43,blue-collar,married,secondary,no,514,yes,yes,cellular,20,apr,34,2,-1,0,unknown,no
8162,26,blue-collar,single,secondary,no,277,no,no,unknown,14,may,514,2,-1,0,unknown,no
4337,39,services,single,secondary,no,91,no,no,cellular,3,sep,213,1,185,1,success,yes
2438,40,management,married,tertiary,no,0,no,no,cellular,6,aug,131,2,98,6,success,yes
5948,36,management,divorced,secondary,no,1655,yes,no,cellular,18,nov,155,2,-1,0,unknown,no
4135,22,student,single,secondary,no,3982,no,no,cellular,20,apr,206,1,-1,0,unknown,yes
9528,37,entrepreneur,married,primary,no,62,no,no,cellular,31,jul,404,2,-1,0,unknown,no
1271,24,student,single,secondary,no,23878,no,no,cellular,18,feb,185,1,-1,0,unknown,yes
3207,75,retired,married,secondary,no,291,no,no,cellular,11,feb,515,1,183,1,failure,yes
3612,62,retired,married,primary,no,1742,no,no,cellular,14,jun,167,2,98,6,other,yes
6673,45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,-1,0,unknown,no
9517,31,management,single,tertiary,no,15,no,no,cellular,11,aug,119,2,-1,0,unknown,no
10176,27,management,single,tertiary,no,1137,yes,no,cellular,8,may,26,1,-1,0,unknown,no
2965,38,management,married,unknown,no,3576,no,no,cellular,25,nov,349,2,183,1,success,yes
476,32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,709,2,-1,0,unknown,yes
4481,26,student,single,tertiary,no,5169,yes,no,cellular,25,may,397,1,35,2,failure,yes
11086,42,admin.,married,secondary,no,6445,yes,no,unknown,2,jun,20,8,-1,0,unknown,no
9527,33,blue-collar,single,primary,no,447,yes,no,unknown,9,may,180,2,-1,0,unknown,no
7957,36,unemployed,single,secondary,no,115,no,no,cellular,9,feb,71,2,-1,0,unknown,no
9513,28,management,married,tertiary,no,22,yes,no,cellular,31,jul,59,3,-1,0,unknown,no
10743,55,management,married,tertiary,no,1433,no,no,unknown,12,jun,298,3,-1,0,unknown,no
4899,37,management,married,tertiary,no,630,no,no,cellular,30,apr,315,1,87,1,success,yes
5260,38,housemaid,married,primary,no,196,no,no,cellular,30,apr,574,1,-1,0,unknown,yes
4503,31,technician,married,tertiary,no,2166,no,no,cellular,13,jul,577,6,182,2,success,yes
1073,49,management,married,tertiary,no,22520,no,no,cellular,21,nov,579,9,-1,0,unknown,yes
10926,53,self-employed,married,tertiary,no,20,yes,no,cellular,7,aug,218,2,-1,0,unknown,no
5321,59,entrepreneur,married,primary,no,222,no,no,cellular,18,nov,97,1,-1,0,unknown,no
1421,35,technician,single,secondary,no,16,yes,no,cellular,8,apr,903,1,-1,0,unknown,yes
9318,34,blue-collar,married,secondary,no,34,no,no,cellular,30,jan,379,1,-1,0,unknown,no
4015,38,services,married,secondary,no,2678,no,no,cellular,28,sep,282,2,187,1,success,yes
7583,54,technician,divorced,secondary,no,83,yes,no,unknown,6,may,190,3,-1,0,unknown,no
7162,47,services,married,secondary,no,1717,no,no,cellular,20,aug,216,9,-1,0,unknown,no
5511,48,management,divorced,secondary,no,769,no,yes,cellular,28,jan,58,2,184,15,other,no
2564,32,management,married,tertiary,no,1270,no,no,cellular,19,aug,232,3,-1,0,unknown,yes
5129,44,housemaid,single,primary,no,1059,no,no,unknown,18,jun,2093,1,-1,0,unknown,yes
918,39,blue-collar,married,secondary,no,1307,yes,no,telephone,31,oct,158,1,-1,0,unknown,yes
7520,52,management,divorced,secondary,no,944,no,yes,unknown,9,jun,119,1,-1,0,unknown,no
